"x","y","m"
0.0048,-0.0339,0
0.0086,0.1654,0
0.0117,0.0245,0
0.017,0.1784,0
0.0261,-0.3466,0
0.0299,-0.755,0
0.0307,0.3549,0
0.0315,0.0401,0
0.0331,0.1059,0
0.034,0.1218,0
0.0351,-0.1353,0
0.0422,-0.032,0
0.0434,0.0862,0
0.0477,0.5027,0
0.0566,-0.2258,0
0.0689,-0.2826,0
0.0738,0.2985,0
0.0744,-0.0033,0
0.0784,-0.7472,0
0.0796,-0.3249,0
0.0824,-0.175,0
0.0828,0.1133,0
0.0909,0.5567,0
0.0919,-0.3106,0
0.0987,-0.3093,0
0.1007,-0.2672,0
0.1041,0.2725,0
0.108,-0.3175,0
0.1156,0.3786,0
0.1223,-0.0461,0
0.1245,0.1539,0
0.1277,0.2481,0
0.1285,-0.4856,0
0.1328,-0.1231,0
0.1359,-0.4943,0
0.1398,-0.3818,0
0.1443,-0.3332,0
0.1541,0.1339,0
0.1629,0.2741,0
0.168,0.404,0
0.1729,-0.5872,0
0.1754,-0.0106,0
0.1763,-0.1224,0
0.1786,0.2777,0
0.1875,0.071,1e-04
0.1932,0.5248,1e-04
0.1944,-0.0773,1e-04
0.2022,0.3433,1e-04
0.2025,0.0269,1e-04
0.205,-0.3421,2e-04
0.2065,0.3576,2e-04
0.2099,-0.0153,2e-04
0.2159,-0.8875,3e-04
0.2282,0.3097,4e-04
0.2301,0.0671,4e-04
0.236,0.3394,6e-04
0.2365,0.3158,6e-04
0.2423,0.0445,7e-04
0.2445,0.1057,8e-04
0.2466,0.1154,8e-04
0.248,-0.4195,9e-04
0.2527,0.509,0.001
0.2622,-0.2398,0.0014
0.2643,0.0583,0.0015
0.2663,-0.1611,0.0017
0.267,0.1788,0.0017
0.2708,0.2164,0.0019
0.2752,-0.1188,0.0022
0.2789,0.1139,0.0025
0.279,0.2405,0.0025
0.2803,0.3186,0.0026
0.2814,0.1967,0.0027
0.2881,0.0324,0.0034
0.2974,0.116,0.0045
0.2974,-0.3905,0.0045
0.2981,-0.2433,0.0045
0.3025,-0.2518,0.0052
0.3059,-0.2359,0.0057
0.3078,-0.5156,0.0061
0.3176,-0.3489,0.008
0.3206,-0.6037,0.0087
0.3246,0.018,0.0097
0.3251,0.3086,0.0098
0.3304,-0.1149,0.0113
0.3368,-0.2661,0.0134
0.3369,0.006,0.0135
0.3416,-0.2377,0.0152
0.3584,-0.4263,0.0232
0.3612,-0.3153,0.0248
0.3638,-0.0293,0.0264
0.365,0.0213,0.0272
0.3665,0.1774,0.0282
0.3692,-0.307,0.03
0.3723,-0.5431,0.0323
0.3766,0.2959,0.0357
0.3795,0.0166,0.0381
0.383,-0.1809,0.0413
0.3915,0.0661,0.0499
0.3957,-0.5305,0.0546
0.3972,-0.4285,0.0565
0.3992,-0.226,0.059
0.4023,0.0885,0.063
0.4025,-0.0271,0.0633
0.4049,-0.1151,0.0665
0.4071,0.3168,0.0695
0.4128,0.0019,0.0782
0.4243,0.1485,0.0985
0.4251,0.0475,0.1
0.4284,-0.0515,0.1066
0.4287,-0.5021,0.1072
0.4407,0.0534,0.1344
0.4478,0.1841,0.1529
0.4567,0.5655,0.1789
0.4603,0.2932,0.1901
0.4652,-0.2128,0.2068
0.4696,0.2161,0.2221
0.4705,0.0376,0.2254
0.4834,0.5258,0.2767
0.4843,0.5784,0.2806
0.5027,-0.0205,0.3673
0.5036,0.367,0.372
0.5057,0.6783,0.3825
0.507,0.3655,0.3896
0.5116,0.1326,0.4144
0.515,0.7262,0.433
0.516,0.3674,0.4389
0.5227,0.3192,0.4774
0.5252,0.7247,0.4922
0.5301,0.2297,0.5221
0.5322,0.5274,0.5348
0.5338,-0.2529,0.5448
0.5378,0.944,0.5698
0.5412,0.571,0.5913
0.5439,0.6465,0.6085
0.5452,0.5793,0.6168
0.5505,0.8338,0.6506
0.5537,0.7305,0.671
0.5547,0.5652,0.6778
0.5577,0.6785,0.6972
0.5652,0.8591,0.7447
0.5668,0.5127,0.7542
0.57,0.8232,0.7744
0.5745,1.2506,0.8016
0.5753,0.5713,0.8062
0.5797,0.7855,0.8317
0.5834,0.961,0.8523
0.5848,1.7133,0.86
0.5884,0.9175,0.8794
0.5982,0.9851,0.9256
0.6045,0.8074,0.9509
0.6056,1.4615,0.9548
0.6069,0.4984,0.9592
0.6124,1.2337,0.9757
0.6142,1.3186,0.9803
0.6167,1.0639,0.9859
0.62,0.9206,0.992
0.6209,1.6082,0.9933
0.6215,0.7264,0.9942
0.626,0.779,0.9987
0.6311,0.9211,0.9999
0.6323,1.1145,0.9995
0.6403,0.9432,0.9908
0.6411,0.7899,0.9893
0.6421,0.6643,0.9872
0.6523,1.277,0.9558
0.6553,1.1115,0.9428
0.6595,1.2631,0.9219
0.6664,0.8753,0.8808
0.6684,0.786,0.8674
0.6762,0.625,0.8083
0.6823,0.9708,0.7564
0.685,0.5102,0.7313
0.6851,0.0842,0.7305
0.6899,1.4361,0.6844
0.6914,0.9661,0.6698
0.6934,0.1675,0.649
0.6954,1.2438,0.6288
0.7004,0.9209,0.5755
0.7084,0.7326,0.4896
0.715,0.4776,0.4182
0.7198,-0.0661,0.3674
0.7287,0.7912,0.2777
0.7289,0.8955,0.2751
0.7403,0.8212,0.1744
0.749,0.1022,0.1111
0.7505,0.541,0.1015
0.7512,0.1228,0.0975
0.762,-0.3312,0.0444
0.7716,-0.3869,0.0161
0.7744,0.0691,0.0109
0.7819,0.0787,0.0026
0.7821,-0.417,0.0025
0.7836,-0.4983,0.0017
0.7845,0.0727,0.0012
0.7886,0.089,2e-04
0.793,0.1323,0
0.7982,0.019,-2e-04
0.7987,0.102,-2e-04
0.8,-0.1637,-4e-04
0.8001,-0.2898,-4e-04
0.8041,-0.1298,-0.0019
0.8042,0.4487,-0.002
0.8103,0.0471,-0.0079
0.8253,-0.0894,-0.0552
0.8267,-0.0073,-0.0629
0.8312,0.2947,-0.0912
0.8342,0.1291,-0.1136
0.8351,0.6339,-0.1209
0.8412,-0.3838,-0.1788
0.8444,0.2032,-0.2138
0.85,-0.1415,-0.2834
0.8575,-0.1579,-0.3912
0.8591,-0.6792,-0.4159
0.862,-0.175,-0.4606
0.8775,-0.5776,-0.7114
0.8784,-0.7157,-0.7265
0.889,-0.7694,-0.8735
0.891,-1.1132,-0.8967
0.8911,-0.5133,-0.8975
0.8927,-0.7434,-0.9152
0.8938,-0.976,-0.9253
0.8945,-0.8991,-0.9321
0.8954,-0.8838,-0.9406
0.8984,-1.0315,-0.9638
0.9013,-0.7369,-0.9815
0.9053,-0.9453,-0.9962
0.9084,-1.1778,-1
0.9105,-0.9554,-0.9987
0.9121,-1.2653,-0.9954
0.9128,-1.3374,-0.9935
0.9257,-0.9017,-0.8943
0.9261,-0.4504,-0.8887
0.9268,-0.6453,-0.8804
0.928,-0.8747,-0.865
0.9309,-0.2596,-0.8237
0.9318,-0.4534,-0.8101
0.9373,-1.0851,-0.7186
0.939,-0.6156,-0.6869
0.9427,-0.3752,-0.6179
0.9506,-0.4731,-0.4643
0.9637,-0.8476,-0.2303
0.9674,-0.028,-0.1752
0.9756,-0.786,-0.0815
0.9773,-0.667,-0.0671
0.9787,-0.0264,-0.0559
0.9789,-0.1318,-0.0546
0.9808,0.0127,-0.0421
0.9822,-0.6911,-0.034
0.9825,0.2092,-0.0325
0.9833,0.0799,-0.0282
0.9857,0.7686,-0.018
0.9875,0.2406,-0.0122
0.988,-0.3567,-0.0108
0.9929,0.1759,-0.0023
0.9961,-0.0321,-4e-04
0.9972,0.0121,-1e-04
