"split_1","split_2","split_3","split_4","split_5"
598,29509,13903,47604,40625
12048,25369,32430,36450,14191
40908,17988,18702,30088,5011
33283,34492,28367,18416,23277
40600,35433,12106,13224,29766
19805,46926,12917,16060,10295
20784,12782,20026,6904,36354
19048,32613,49383,14007,4688
37061,26060,40220,39192,15064
3983,26999,15130,41524,40064
10403,31639,391,25459,9192
28874,40205,9517,12410,921
11099,3865,6923,3701,36266
12940,49388,40848,14445,4194
41437,16154,32821,20148,317
3554,3603,31599,4357,39884
22356,19751,29201,44836,14543
23521,49275,47879,38399,10821
19043,15987,45801,33157,38628
30978,35456,31390,37480,22374
39297,6402,24703,20085,15099
39470,45509,4357,45466,30860
22235,9726,36361,9506,18803
35270,10967,23456,49248,35304
6693,46976,9022,22171,46052
5657,34620,27955,18385,39320
32121,36409,14112,36042,36190
20400,33958,18889,13138,18383
17806,2838,14540,38370,3204
22512,2688,16023,33156,5981
28606,21961,26650,5220,44840
48490,30283,49335,15583,1850
1403,30773,1179,18188,5794
17124,40726,48295,16941,3721
27901,7836,20569,27922,18702
20999,30324,41198,45428,41183
35827,19573,3940,24987,14851
26701,8473,38583,32238,8309
48095,201,45345,38117,2547
12253,42555,252,10711,40386
11177,9876,18994,11268,40796
7686,20044,44766,23254,11416
36491,34255,19398,23354,38327
27051,401,21119,20580,39298
3700,39348,24507,36750,7332
32648,35896,19887,8254,13010
16627,46526,10022,41031,10096
14605,36913,16578,16960,821
11235,30866,37990,9660,27033
6006,31149,27999,40479,43034
44976,16405,24772,40685,1979
23594,20523,48756,36713,40027
24771,18574,31365,35144,32043
34332,37060,39377,48292,19579
19847,27728,22721,45470,19023
37046,13168,18424,45244,3520
3358,10155,38689,15204,33984
47112,12427,20335,34533,27925
4522,48517,13284,28858,14180
37803,31017,6261,33061,44388
41939,24333,41585,36205,27448
3882,6908,8860,15973,31313
25287,5637,34837,21650,33015
46006,40825,23300,21864,16918
36394,44738,31869,6758,32555
19123,31260,23310,43487,41118
37707,3324,7897,37363,38497
18962,31863,33261,29391,15765
34016,49651,26460,23328,16117
33850,34034,44385,34593,12853
12106,3482,14044,12034,49945
30158,12041,8908,39618,40692
11406,42978,48097,3658,45627
36719,4903,26635,42857,15587
6521,29847,37964,14006,2587
37565,7748,29626,47518,46670
9404,43660,28836,48779,25141
31922,34185,3728,16925,48381
26954,21390,39424,36065,37403
42225,16803,23051,18382,48933
26929,43814,24245,49861,38037
22202,18293,37173,17095,38847
480,44915,685,38857,17374
15022,33808,41962,46740,12330
13299,9355,429,6199,46193
44668,32129,14344,6594,30011
13588,29848,34648,25658,3872
36871,20672,32832,45501,44803
43907,17822,43141,34117,49156
4789,35261,25980,18609,49197
11538,3877,16180,4902,16584
41758,12952,12696,17040,15409
33352,37985,15162,37079,28493
32596,2631,19922,8738,8074
27669,35465,20950,42476,13228
46771,23813,49203,45030,18906
17018,41738,41709,640,38719
31622,43129,2521,16145,20570
16225,32608,48572,16581,14311
18878,36702,44390,34441,36777
19476,2381,49787,6530,43208
25314,37766,31852,28565,15510
41037,11303,2613,22978,27778
34298,5152,26725,15132,20452
7893,952,35874,8800,7789
30635,15790,14789,37790,44199
12052,1318,14308,24531,20987
24816,31358,27530,38125,11165
46217,37145,46160,6446,18633
27550,25945,28240,6819,28051
45642,28237,9800,12557,49668
15635,35994,16480,38318,49046
29120,9565,16113,2463,29022
42335,26030,37790,12778,11029
47655,17534,7394,49482,1567
