"s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79"
3.03451287441466,3.03526058236585,3.13419905569265,3.22474800496753,3.30761882295259,3.38346257960032,3.45287513714836,3.51640183147785,3.5745417565143,3.62775168533119,3.67644965876207,3.72101826971503,3.76180766899251,3.79913831623153,3.8334067306256,3.87429586971967,3.91381812274601,3.90589478792097,3.89883333876851,3.89237138910633,3.88679082733428,3.84878634301941,3.80202818282717,3.75840301190822,3.71846456670803,3.68202948567504,3.65352038237038,3.62749708889385,3.60368223256513,3.58245744750527,3.5624735026049,3.54417257008969,3.52742325964511,3.54639885589772,3.59064822564284,3.62952976172816,3.66427417682199,3.69604634913242,3.72512492812453,3.75246817220016,3.7768449466784,3.79907345797026,3.81941570438001,3.8154804455645,3.80984480013811,3.82690167622596,3.85833055789682,3.88719763206822,3.9140186387298,3.93833216432164,3.96077467337426,3.98512467314238,4.00459847749631,4.01173775649744,4.02416922005657,4.03591855016933,4.04554626264472,4.05475778101098,4.06330790819491,4.07049326283777,4.07757028718831,4.08420650678811,4.08967369678986,4.09764764859887,4.1035164185049,4.10960398728731,4.11463200357226,4.11960422848216,4.12436592871944,4.12815319884304,4.13187025836169,4.13547737070768,4.1395611226293,4.14176066073612,4.14415674759833,4.14658688583195,4.14896269491922,4.15089543108752,4.15272624912263,4.15448640836562
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000896761481889853,-0.00238565775717164,-0.00349816165032819,-0.00443319750045136,-0.0053115260889409,-0.00612113499799078,-0.0068347983109387,-0.00751520189185296,-0.00814074204090882,-0.00868108098893552,-0.00920440290308112,-0.00965201656643316,-0.0100851733262942,-0.01044700473952,-0.0107978016706497,-0.0111232731402513,-0.0113870344002882,-0.0116499453082965,-0.0118987083759247,-0.0121143881118788,-0.0122862159613125,-0.0124672290699886,-0.0126433121654929,-0.012809197904752,-0.0129203208597928,-0.0130366583213447,-0.0131522146553201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94071650287264e-05,0.000184851563808711,0.000281609358191115,0.000377198819320228,0.00045687363361109,0.000533940470122403,0.000606345060951486,0.000665208384251135,0.000723012117838265,0.000778110012747177,0.000832102585217725,0.000868669760528155,0.000907766708310058,0.000946087959267102,0.000982607529908861,0.00100961240671999,0.00103683071631365,0.00106327290839039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000509970003929855,-0.00183822858083459,-0.00323031156784944,-0.00442996286440174,-0.00558502983568589,-0.00682801848595977,-0.00754122980125223,-0.00841788253409774,-0.00940808643496035,-0.00979186796070762,-0.0101459310030371,-0.0105235183142801,-0.0108942746993902,-0.0112321868768062,-0.0115288183428975,-0.0118132022754544,-0.0120717734630592,-0.0122170164858589,-0.0123236072840522,-0.0123506026018272,-0.0123796288407364,-0.0124077535745653,-0.0124385105633813,-0.0124643526111794,-0.0124877049252286,-0.0125135229751877,-0.0125365019737657,-0.0125529347146721,-0.0125632705633655,-0.0125835524561519,-0.0126028200480099,-0.0126183712321332,-0.012624962790696,-0.0126307191724069,-0.0126377507308929
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000473804660946071,0.0118701766524428,0.0222895531238613,0.0318254153414963,0.040550051388637,0.0485374943493873,0.0558476528061641,0.0625379437560561,0.0671649899999938,0.0703372892754754,0.0732855177498165,0.076009969418141,0.0785040722650731,0.0807866692035042,0.0828528832010211,0.0847644048670528,0.0865161283371478,0.0881193435366848,0.0903240510637491,0.0923538769853616,0.0939876285385782,0.0955981293845526,0.0970662095107939,0.0983848574280675,0.0996104788600755,0.100709085124973,0.101403667617167,0.10217148655992,0.103155082754891,0.103708965853355,0.104238394799408,0.104773326179513,0.105254958907222,0.105691891936468,0.106109559335111,0.106477606151774,0.106809705023102,0.107126707440042,0.107391206005643,0.10762174913392,0.107823780989796,0.108025652202594,0.108199833862027,0.108353402095796,0.108511762281225,0.108648504448888,0.108767826741766,0.108864991399529,0.108981904322922,0.109082903908465,0.109169440084028,0.109244261545657,0.109323306627176,0.109390622485849,0.109449246260986
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189975251476137,-0.0412624064275546,-0.0626801226627405,-0.0814821803075077,-0.0991321149855871,-0.114860295471392,-0.129604638928599,-0.143525099286904,-0.158196884930444,-0.171514093374769,-0.183591463395269,-0.190119674925653,-0.197649208930244,-0.204889986561243,-0.211659163815005,-0.217835271812405,-0.223304217927967,-0.228463180663985,-0.233198520776078,-0.237308476436124,-0.241447175500123,-0.244741324978929,-0.247880985067719,-0.250641543297283,-0.253344643950366,-0.255846568607387,-0.257941200608647,-0.260025689366296,-0.261969153563222,-0.263819793189581,-0.265241533585886,-0.266678352876868,-0.268041161148284,-0.26930269202628,-0.270200783252707,-0.271161411388652,-0.272114211490723
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199845492741824,0.0607725754744167,0.0979048471830609,0.131887809950146,0.162666466586837,0.195424139394392,0.225386211258866,0.253456061728531,0.279151077929319,0.302577427869052,0.322425293867342,0.34049104550482,0.357024147555249,0.371857503091349,0.385725172079595,0.398422523084671,0.410043299050681,0.418454513355661,0.423769441765459,0.428696367670352,0.433612673729599,0.438114037938558,0.442233446370976,0.445544147041198,0.449014485681368,0.452209903583059,0.455134096482891,0.459359298207132,0.462290429260111,0.462475333080077,0.462253976501805,0.461302953514881,0.460336337068245,0.459552545302399,0.458509990634062,0.454799353646594,0.452150033915919,0.4508482148165,0.44803538594652,0.445696859685638,0.443827041284906,0.442005090610983,0.440316338143854,0.438935602542826,0.437529829450807,0.436213953496942,0.435168253061805,0.433975520290708,0.432927226991879,0.431933218997,0.431162068399556,0.430356069088225,0.429579929121909,0.429017105963447,0.428424055974321,0.427835295325141,0.427289791200395,0.426905499506898,0.426520873358165,0.426121173090779,0.425725425996871,0.425471326746233,0.425207493280826,0.424936419932748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107621200235285,0.000657374251994524,0.00106436336490961,0.00138118598133528,0.00178526427633698,0.00219815243040966,0.00255163355475495,0.00287599164645307,0.00317394972091039,0.00343613315444206,0.0036843499754148,0.0039141913061614,0.00411534550398189,0.0043163439363167,0.00447304800205443,0.00463264315926332,0.00477346395947364,0.00490814924566427,0.00503346578393143,0.00513995601935663,0.00524232553471344,0.00533803480394139,0.00543920069289156,0.00550535384781829,0.00557371382021103,0.00563945226162525,0.00570141658953629,0.00575182315558245,0.00580168743550452,0.00584925615452146
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00588732831874592,-0.015404298267531,-0.0239423115102149,-0.0316962313391954,-0.0387900147042529,-0.0452823173588306,-0.0512674676616347,-0.0567091812698221,-0.0616821801435116,-0.0662333248332033,-0.0747540807295406,-0.0840505499493108,-0.0930314650088435,-0.101130305569751,-0.108922566979423,-0.11588953280877,-0.122398021942179,-0.128156753483498,-0.131782626500548,-0.13557777980708,-0.14049392628691,-0.143975214928848,-0.146977800470948,-0.149827862666444,-0.152545648373863,-0.155033871233234,-0.157236566319613,-0.159325555768429,-0.161236079565768,-0.16290347467274,-0.164807830060181,-0.166349567909911,-0.167781533383692,-0.168993548116621,-0.170182380403247,-0.171285614842422,-0.17218879782756,-0.173093737264183,-0.173947331015966,-0.174687145312448,-0.175302809526906,-0.17593480595821,-0.176541136589003,-0.177105648896262,-0.177488550494224,-0.177889408185031,-0.178289497198596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024141437781527,0.00652954637148782,0.0101738811063403,0.0135014201965283,0.0165656594110435,0.0193831836709567,0.0223070234784712,0.0247701928460264,0.0276016947954991,0.0312810132628334,0.0344960138111587,0.0372493853970379,0.0398330206415702,0.0422132230222594,0.0442925606129116,0.0462815139760839,0.0481193571472492,0.049687617301262,0.0513502740347987,0.0526812923925443,0.0540075859624769,0.0551300784836587,0.0562240442491744,0.0572474017011172,0.05808135332939,0.0589070120349075,0.0596897319815493,0.060458135822002,0.0609846560524467,0.0615405256031552,0.0620846270770774,0.0626006335484311,0.0629734665159561,0.0633570121976397,0.0637335689177712
